No.,요리명,조리법,매칭근거,핵심 식재료,식단내분류
1,갈비맛치킨,튀김,특수:갈비맛치킨,닭고기,주
2,계란후라이,구이,키워드:후라이,계란,보조
3,고구마츄러스맛탕,튀김,키워드:맛탕,고구마,보조
4,고구마치즈돈가스,튀김,키워드:돈가스,돼지고기,주
5,남산식왕돈까스,튀김,키워드:돈까스,돼지고기,주
6,달콘치킨,튀김,특수:달콘치킨,닭고기,주
7,두부떡강정,튀김,키워드:강정,두부,보조
8,롱김말이튀김,튀김,키워드:튀김,"김, 채소",보조
9,모짜렐라치즈볼,튀김,특수:치즈볼,치즈,보조
10,바삭크크치킨,튀김,특수:바삭크크치킨,닭고기,주
11,벌집고구마튀김,튀김,키워드:튀김,고구마,보조
12,블랙알리오치킨,튀김,특수:블랙알리오치킨,닭고기,주
13,사과부각,튀김,키워드:부각,사과,보조
14,새우멘보샤,튀김,키워드:멘보샤,새우,보조
15,새우야채짜조롤,튀김,키워드:짜조,새우,보조
16,소바바간장치킨&양념치킨소스,튀김,특수:소바바간장치킨,닭고기,주
17,슈프림치킨,튀김,특수:슈프림치킨,닭고기,주
18,야채치즈크로켓,튀김,키워드:크로켓,감자,보조
19,오곡등심탕수육,튀김,키워드:탕수,돼지고기,주
20,오븐바삭치킨떡강정,튀김,키워드:강정,닭고기,주
21,용가리치킨샐러드,튀김,특수:용가리치킨,닭고기,보조
22,유린기,튀김,키워드:유린기,닭고기,주
23,찹쌀꿔바로우,튀김,키워드:꿔바로우,돼지고기,주
24,초당옥수수콘치즈돈가스,튀김,키워드:돈가스,돼지고기,주
25,치즈감자고로케,튀김,키워드:고로케,감자,주
26,치즈돈가스,튀김,키워드:돈가스,돼지고기,주
27,치즈블럭돈가스,튀김,키워드:돈가스,돼지고기,주
28,탕수만두(채식),튀김,키워드:탕수,채소,주
29,통살새우까스,튀김,특수:새우까스,새우,주
30,허니버터연근튀김,튀김,키워드:튀김,연근,보조
31,회오리감자,튀김,특수:회오리감자,감자,보조
32,갈치무조림,조림,키워드:조림/짜글,갈치,주
33,감자짜글이찌개,조림,키워드:조림/짜글,"감자,돼지",국
34,꽈리고추계란장조림,조림,키워드:조림/짜글,계란,보조
35,닭윙데리야끼조림,조림,키워드:조림/짜글,닭고기,주
36,돈육두부양념조림,조림,키워드:조림/짜글,"돼지고기, 두부",보조
37,돈육메추리알조림,조림,키워드:조림/짜글,"돼지고기, 메추리알",보조
38,메추리알장조림(꽈리고추),조림,키워드:조림/짜글,메추리알,보조
39,메추리알장조림(육),조림,키워드:조림/짜글,메추리알,보조
40,미트볼조림,조림,키워드:조림/짜글,돼지고기,보조
41,(우유)야채계란찜,찜,키워드:찜,계란,보조
42,돈사태찜,찜,키워드:찜,돼지고기,주
43,돈육김치찜,찜,키워드:찜,돼지고기,주
44,동파육,찜,특수:동파육,돼지고기,주
45,돼지갈비찜(육),찜,키워드:찜,돼지고기,주
46,돼지등뼈찜&당면(육),찜,키워드:찜,돼지고기,주
47,마라로제찜닭,찜,키워드:찜,닭고기,주
48,매콤돼지갈비찜,찜,키워드:찜,돼지고기,주
49,분모자간장찜닭,찜,키워드:찜,닭고기,주
50,수육,찜,특수:수육,돼지,주
51,순살간장찜닭,찜,키워드:찜,닭고기,주
52,안동찜닭(육),찜,키워드:찜,닭고기,주
53,양배추찜,찜,키워드:찜,양배추,보조
54,양배추찜/쌈장,찜,키워드:찜,양배추,보조
55,짜장찜닭,찜,키워드:찜,닭고기,주
56,해물콩나물찜(아귀),찜,키워드:찜,"아귀, 콩나물",주
57,가지나물,무침,어미:~나물,가지,보조
58,골뱅이야채무침,무침,키워드:무침,골뱅이,보조
59,꼬들오이지무침,무침,키워드:무침,오이,보조
60,도토리묵무침,무침,키워드:무침,도토리묵,보조
61,두부무침/달래양념장,무침,키워드:무침,두부,보조
62,매운콩나물무침,무침,키워드:무침,콩나물,보조
63,무생채,무침,키워드:생채,무,김치
64,미나리숙주무침(육),무침,키워드:무침,"미나리,숙주",보조
65,배추겉절이,무침,키워드:겉절이,배추,보조
66,부추겉절이,무침,키워드:겉절이,부추,보조
67,브로콜리참깨소스무침,무침,키워드:무침,브로콜리,보조
68,비름나물무침,무침,키워드:무침,비름나물,보조
69,상추겉절이,무침,키워드:겉절이,상추,보조
70,세발나물양파무침,무침,키워드:무침,세발나물,보조
71,숙주나물무침,무침,키워드:무침,숙주,보조
72,시금치나물무침,무침,키워드:무침,시금치,보조
73,실곤약야채무침,무침,키워드:무침,곤약,보조
74,싸먹는오리슬라이스/양배추부추겨자무침,무침,키워드:무침,오리,주
75,쑥갓두부무침,무침,키워드:무침,"쑥갓,두부",보조
76,얼갈이된장무침,무침,키워드:무침,얼갈이,보조
77,오이고추된장무침,무침,키워드:무침,고추,보조
78,오이부추무침,무침,키워드:무침,"오이,부추",보조
79,오이양파무침,무침,키워드:무침,"오이,양파",보조
80,진미채쪽파무침,무침,키워드:무침,진미채,보조
81,쫄면야채무침,무침,키워드:무침,쫄면,보조
82,참나물&오이무침(육),무침,키워드:무침,"참나물,오이",보조
83,참나물두부무침,무침,키워드:무침,"참나물,두부",보조
84,청경채무침,무침,키워드:무침,청경채,보조
85,청포묵김무침,무침,키워드:무침,청포묵,보조
86,치커리사과무침(육),무침,키워드:무침,사과,보조
87,콩나물김가루무침,무침,키워드:무침,콩나물,보조
88,콩나물무침,무침,키워드:무침,콩나물,보조
89,콩나물파채무침,무침,키워드:무침,콩나물,보조
90,파채무침,무침,키워드:무침,파,보조
91,LA돼지갈비오븐구이,구이,키워드:구이,돼지고기,주
92,간장숯불불고기,구이,키워드:숯불,소고기,주
93,갈릭베이컨알감자구이,구이,키워드:구이,"감자,베이컨",보조
94,고등어구이,구이,키워드:구이,고등어,주
95,닭날개오븐구이,구이,키워드:구이,닭고기,주
96,닭살바베큐오븐구이,구이,키워드:구이,닭고기,주
97,닭윙구이&양념치킨소스,구이,키워드:구이,닭고기,주
98,돈마호크스테이크,구이,키워드:스테이크,돼지고기,주
99,두부구이(육),구이,키워드:구이,두부,보조
100,바베큐폭립,구이,키워드:바베큐,돼지고기,주
101,바베큐폭찹스테이크,구이,키워드:스테이크,돼지고기,주
102,반각오븐구이,구이,키워드:구이,닭고기,주
103,블랙페퍼오븐치킨,구이,키워드:오븐,닭고기,주
104,삼치구이,구이,키워드:구이,삼치,주
105,삼치데리야끼구이,구이,키워드:구이,삼치,주
106,새우꼬치,구이,어미:~꼬치,새우,보조
107,숯불갈비구이,구이,키워드:숯불,소고기,주
108,숯불조림닭,구이,키워드:숯불,닭고기,주
109,숯불치킨덮밥,구이,키워드:숯불,닭고기,밥
110,알감자버터구이,구이,키워드:구이,감자,보조
111,양송이크림직화함박스테이크,구이,키워드:스테이크,돼지고기,주
112,연잎수제떡갈비,구이,키워드:떡갈비,돼지고기,주
113,오미산적,구이,키워드:산적,돼지고기,주
114,오븐목살구이와 야채구이,구이,키워드:구이,돼지고기,주
115,웨지감자구이,구이,키워드:구이,감자,보조
116,장각구이,구이,키워드:구이,닭고기,주
117,캠핑모듬구이,구이,키워드:구이,소시지,보조
118,통목살스테이크/파인애플,구이,키워드:스테이크,돼지고기,주
119,활짝핀떡갈비,구이,키워드:떡갈비,돼지고기,주
120,훈제오리,구이,키워드:훈제,오리고기,주
121,훈제오리/머스타드,구이,키워드:훈제,오리고기,주
122,흑돼지숯불바베큐,구이,키워드:숯불,돼지고기,주
123,감자채볶음,볶음,키워드:볶음/볶이,감자,보조
124,계란볶음밥,볶음,키워드:볶음/볶이,계란,밥
125,고구마닭갈비,볶음,특수:닭갈비,닭고기,주
126,고추장오리불고기,볶음,특수:불고기,오리고기,주
127,궁중떡볶이,볶음,키워드:볶음/볶이,떡,주
128,김치볶음밥,볶음,키워드:볶음/볶이,김치,밥
129,까르보크림떡볶이,볶음,키워드:볶음/볶이,떡,주
130,낙지볶음/소면,볶음,키워드:볶음/볶이,낙지,보조
131,날치알김치볶음밥,볶음,키워드:볶음/볶이,"날치알,김치",밥
132,눈꽃치즈닭갈비(육),볶음,특수:닭갈비,닭고기,주
133,느타리들깨볶음,볶음,키워드:볶음/볶이,느타리버섯,보조
134,달걀볶음밥,볶음,키워드:볶음/볶이,달걀,밥
135,닭갈비덮밥,볶음,특수:닭갈비,닭고기,밥
136,닭볶음탕(육),볶음,키워드:볶음/볶이,닭고기,주
