발생량_평,기준일,1인당 쓰레기양,급식인원수,칼로리_평균,탄_평균,단_평균,지_평균,"요리명_양념소스, 음료 제외__basket",핵심식재료_basket,요일_블록,최종_잔반그룹
190,20250305,0.2754,690,857.1,133.05,31.2,21.15,"잡곡밥, 들깨미역국, 돼지갈비찜(육), 숙주나물무침, 깍두기, 두부티라미수, 찹쌀밥, 순대국밥, 표고야채만두, 부추겉절이, 깍두기, 쑥꿀떡","들깨, 미역, 돼지갈비, 숙주, 두부, 순대, 표고버섯, 만두, 쑥떡",Wednesday,LOW
240,20250307,0.3478,690,903.5,108.85,41.5,32.75,"보리밥, 감자고추장찌개, 세발나물양파무침, 대패삼겹살볶음(전), 보쌈김치, 사과(한조각), 기장밥(전), 북어국(육), 김자반, 고구마닭갈비, 모짜렐라치즈볼, 총각김치","감자, 세발나물, 양파, 삼겹살, 사과, 북어, 김, 고구마, 닭고기, 치즈",Friday,NORMAL
230,20250310,0.3333,690,814.9,112.2,48.9,18.3,"두부무침/달래양념장, 현미밥, 사골떡국, 제육볶음(육), 배추김치","두부, 달래, 사골, 떡, 돼지고기",Monday,NORMAL
205,20250312,0.2971,690,763.35,108.05,35.7,20.7,"흑미밥, 육개장, 감자채볶음, 닭날개오븐구이, 배추김치, 파인애플(40g), 참치야채비빔밥, 유부된장국, 맛밤송송함박, 나박김치","소고기, 감자, 닭날개, 파인애플, 참치, 야채, 유부, 밤, 돼지고기, 소고기",Wednesday,LOW
245,20250314,0.3551,690,861.65,139.45,34.0,17.6,"잡곡밥, 얼큰순두부국, 마늘쫑&어묵볶음(육), 슈프림치킨, 무생채, 바나나(1/2), 귀리밥, 오색어묵국, 삶은계란, 밀떡볶이, 야채치즈크로켓, 배추김치","순두부, 마늘쫑, 어묵, 닭고기, 무, 바나나, 어묵, 계란, 떡, 야채, 치즈",Friday,HIGH
280,20250317,0.4058,690,849.6,128.8,36.4,21.3,"수수밥, 미니해물짬뽕, 참나물&오이무침(육), 유린기, 배추김치","해물, 면, 참나물, 오이, 닭고기",Monday,HIGH
225,20250319,0.3261,690,964.8,133.6,40.6,27.9,"현미밥, 김치수제비(육), 돈육메추리알조림, 고등어구이, 양념깻잎지, 플레로티치킨마요덮밥, 팽이버섯장국, 배추김치, 사과주스, 고구마츄러스맛탕","김치, 수제비, 돼지고기, 메추리알, 고등어, 닭고기, 팽이버섯, 사과, 고구마",Wednesday,NORMAL
280,20250321,0.4058,690,819.45,107.6,35.45,27.05,"흑미밥, 순살감자탕, 미트볼조림, 쑥갓두부무침, 깍두기, 망고요거트, 수수밥, 부대찌개&라면사리, 청포묵김무침, 닭살바베큐오븐구이, 무생채","돼지고기, 감자, 미트볼, 쑥갓, 두부, 망고, 요거트, 소시지, 햄, 두부, 라면, 청포묵, 김, 닭고기, 무",Friday,HIGH
280,20250324,0.4058,690,836.4,113.2,39.8,23.5,"차조밥, 우렁살된장찌개, (우유)야채계란찜, 돈육김치찜, 깍두기, 사과(한조각)","우렁, 우유, 야채, 계란, 돼지고기, 김치, 사과",Monday,HIGH
210,20250326,0.3043,690,879.4,149.8,35.25,13.65,"잡곡밥, 얼큰콩나물국, 분모자간장찜닭, 진미채쪽파무침, 배추김치, 크루키, 자율밥, 베트남쌀국수(육), 새우야채짜조롤, 총각김치, 자두주스, (방울)토마토샐러드","콩나물, 닭고기, 분모자, 진미채, 쪽파, 쿠키, 쌀국수, 새우, 야채, 자두, 방울토마토, 샐러드채소",Wednesday,NORMAL
235,20250328,0.3406,690,687.15,104.35,42.05,9.3,"보리밥, 닭곰탕大(육), 시금치나물무침, 돈육간장불고기, 배추김치, 오렌지, 귀리밥, 두부김치국, 흑돼지숯불바베큐, 콩나물김가루무침, 무쌈, 배추겉절이","닭고기, 시금치, 돼지고기, 오렌지, 두부, 김치, 흑돼지, 콩나물, 김",Friday,NORMAL
200,20250331,0.2899,690,947.8,95.3,52.4,39.4,"양배추샐러드, 카레라이스, 반각오븐구이, 배추김치","양배추, 카레, 돼지고기, 닭고기",Monday,LOW
195,20250402,0.283,689,800.25,116.65,34.05,21.15,"귀리밥, 근대된장국, 오이부추무침, 바베큐폭찹스테이크, 배추김치, 유기농초코쌀뻥, 홍국쌀밥, 딸기에끌레어, 조랭이꽃떡국, 참나물두부무침, 활짝핀떡갈비, 총각김치","근대, 오이, 부추, 돼지고기, 쌀과자, 딸기, 떡, 참나물, 두부, 돼지고기, 소고기",Wednesday,LOW
200,20250404,0.2903,689,843.05,125.6,38.35,20.6,"잡곡밥, 감자수제비국, 마라로제찜닭, 달달한토마토, 찹쌀콩멸치볶음, 깍두기, 베이컨&김치볶음밥, 맑은콩나물국, 고구마치즈돈가스, 무생채, 우리밀 행운목 케익","감자, 수제비, 닭고기, 토마토, 콩, 멸치, 베이컨, 김치, 콩나물, 고구마, 치즈, 돼지고기, 무, 케이크",Friday,LOW
230,20250407,0.3338,689,697.2,87.6,56.5,13.9,"현미밥, 얼큰어묵국, 느타리들깨볶음, 시카고치킨피짜, 배추김치, 바나나(1/2)","어묵, 느타리버섯, 들깨, 닭고기, 치즈, 피자도우, 바나나",Monday,NORMAL
205,20250409,0.2975,689,876.4,122.5,28.45,29.15,"찹쌀밥, 들깨무채국, 고추장오리불고기, 깍두기, 양배추찜, 에그타르트, 잡곡밥, 양송이크림스프, 살사푸실리파스타, 통목살스테이크/파인애플, 나박김치, 마늘빵","들깨, 무, 오리고기, 양배추, 계란, 양송이버섯, 푸실리파스타, 돼지목살, 파인애플, 마늘, 빵",Wednesday,LOW
200,20250411,0.2903,689,803.65,110.05,40.45,21.3,"흑미밥, 얼큰순두부국, 볼어묵볶음, 블랙페퍼오븐치킨, 양념깻잎지, 계란파국, 주꾸미돈육비빔밥, 갈릭크림치즈피자, 백김치","순두부, 어묵, 닭고기, 계란, 대파, 주꾸미, 돼지고기, 마늘, 크림치즈, 피자도우",Friday,LOW
190,20250414,0.2758,689,987.5,144.8,39.1,27.5,"짜장밥, 나가사끼짬뽕국(육), 찹쌀꿔바로우, 배추김치","돼지고기, 야채, 오징어, 홍합, 면",Monday,LOW
205,20250416,0.2975,689,940.05,116.45,52.85,27.45,"흑미밥, 얼큰 동태찌개, 간장숯불불고기, 알감자버터구이, 배추김치, 마제덮밥, 두부김치국, 무생채, 타코야끼, 파인애플(40g)","동태, 소고기, 알감자, 돼지고기, 두부, 김치, 무, 문어, 파인애플",Wednesday,LOW
240,20250418,0.3483,689,801.15,127.65,33.0,16.0,"잡곡밥, 아욱된장국, 순살간장찜닭, 잡채, 총각김치, 차조밥, 미니유부우동국, 비엔나소시지케첩볶음, 삼치구이, 깍두기, 사과(한조각)","아욱, 닭고기, 당면, 야채, 유부, 우동, 비엔나소시지, 삼치, 사과",Friday,NORMAL
270,20250421,0.3919,689,703.9,102.1,30.2,18.4,"현미밥, 팽이버섯장국, 꽈리고추계란장조림, LA돼지갈비오븐구이, 나박김치, 오렌지","팽이버섯, 꽈리고추, 계란, 돼지갈비, 오렌지",Monday,HIGH
225,20250423,0.3266,689,889.75,120.2,35.85,27.85,"콩나물밥&양념장(육), 참치김치찌개, 까르보크림떡볶이, 깍두기, 아이스망고스틱, 도시락올리브김, 잡곡밥, 우동국물(육), 수육, 골뱅이야채무침, 보쌈김치, 바람떡","콩나물, 참치, 김치, 떡, 베이컨, 망고, 김, 우동, 돼지고기, 골뱅이, 야채, 떡",Wednesday,NORMAL
235,20250425,0.3411,689,813.75,106.95,37.05,25.0,"수수밥, 한우설렁탕, 간장무채장아찌, 언양식불고기&콩나물파채, 깍두기, 보리밥, 두부미역국, 도토리묵무침, 닭볶음탕(육), 총각김치, 체리푸딩","소고기, 콩나물, 두부, 미역, 도토리묵, 닭고기, 체리, 푸딩",Friday,NORMAL
230,20250428,0.3338,689,847.7,135.4,36.0,17.9,"마크니커리덮밥, 북어국(육), 감귤샐러드, 탄두리치킨, 배추김치","닭고기, 커리, 북어, 감귤, 샐러드채소",Monday,NORMAL
